迭代：274，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：275，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：276，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：277，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：278，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：279，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：280，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：281，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：282，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：283，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：284，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：285，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：286，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：287，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：288，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：289，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：290，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：291，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：292，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：293，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：294，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：295，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：296，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：297，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：298，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
