种群大小：50，变异率：0.02，类型：随机，迭代数：400，时间：12
迭代：184，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
迭代：185，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
迭代：186，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
迭代：187，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
迭代：188，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
迭代：189，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
迭代：190，时间：12，类型：随机，适应值：(14337.89,)，车辆：7，距离：138.4，满意度：98.5
迭代：191，时间：12，类型：随机，适应值：(14304.29,)，车辆：7，距离：139.0，满意度：99.5
迭代：192，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：193，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：194，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：195，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：196，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：197，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：198，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：199，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：200，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：201，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：202，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：203，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：204，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：205，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：206，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：207，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：208，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：209，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：210，时间：12，类型：随机，适应值：(14286.72,)，车辆：7，距离：139.4，满意度：100.0
迭代：211，时间：12，类型：随机，适应值：(14179.85,)，车辆：7，距离：138.3，满意度：100.0
迭代：212，时间：12，类型：随机，适应值：(14179.85,)，车辆：7，距离：138.3，满意度：100.0
迭代：213，时间：12，类型：随机，适应值：(14179.85,)，车辆：7，距离：138.3，满意度：100.0
迭代：214，时间：12，类型：随机，适应值：(14179.85,)，车辆：7，距离：138.3，满意度：100.0
迭代：215，时间：12，类型：随机，适应值：(14161.51,)，车辆：7，距离：138.1，满意度：100.0
迭代：216，时间：12，类型：随机，适应值：(14145.24,)，车辆：7，距离：138.0，满意度：100.0
迭代：217，时间：12，类型：随机，适应值：(14126.9,)，车辆：7，距离：137.8，满意度：100.0
迭代：218，时间：12，类型：随机，适应值：(14126.9,)，车辆：7，距离：137.8，满意度：100.0
迭代：219，时间：12，类型：随机，适应值：(14126.9,)，车辆：7，距离：137.8，满意度：100.0
迭代：220，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：221，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：222，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：223，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：224，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：225，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：226，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：227，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：228，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：229，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：230，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：231，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：232，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：233，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：234，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：235，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：236，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：237，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：238，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：239，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：240，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：241，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：242，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：243，时间：12，类型：随机，适应值：(14077.73,)，车辆：7，距离：137.3，满意度：100.0
迭代：244，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：245，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：246，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：247，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：248，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：249，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：250，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：251，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：252，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
迭代：253，时间：12，类型：随机，适应值：(14009.43,)，车辆：7，距离：136.6，满意度：100.0
