迭代：255，类型：随机，适应值：(7476.6406,)，车辆：20，距离：3478.32，满意度：99.4
迭代：256，类型：随机，适应值：(7476.6406,)，车辆：20，距离：3478.32，满意度：99.4
迭代：257，类型：随机，适应值：(7476.6406,)，车辆：20，距离：3478.32，满意度：99.4
迭代：258，类型：随机，适应值：(7476.6406,)，车辆：20，距离：3478.32，满意度：99.4
迭代：259，类型：随机，适应值：(7363.0969,)，车辆：19，距离：3431.548，满意度：99.4
迭代：260，类型：随机，适应值：(7363.0969,)，车辆：19，距离：3431.548，满意度：99.4
迭代：261，类型：随机，适应值：(7345.7076,)，车辆：19，距离：3422.854，满意度：99.4
迭代：262，类型：随机，适应值：(7345.7076,)，车辆：19，距离：3422.854，满意度：99.4
迭代：263，类型：随机，适应值：(7340.895,)，车辆：19，距离：3420.447，满意度：99.4
迭代：264，类型：随机，适应值：(7340.895,)，车辆：19，距离：3420.447，满意度：99.4
迭代：265，类型：随机，适应值：(7340.895,)，车辆：19，距离：3420.447，满意度：99.4
迭代：266，类型：随机，适应值：(7241.6607,)，车辆：19，距离：3370.83，满意度：99.4
迭代：267，类型：随机，适应值：(7241.6607,)，车辆：19，距离：3370.83，满意度：99.4
迭代：268，类型：随机，适应值：(7235.5057,)，车辆：19，距离：3367.753，满意度：99.4
迭代：269，类型：随机，适应值：(7226.1546,)，车辆：19，距离：3363.077，满意度：99.4
迭代：270，类型：随机，适应值：(7226.1546,)，车辆：19，距离：3363.077，满意度：99.4
迭代：271，类型：随机，适应值：(7221.1662,)，车辆：19，距离：3360.583，满意度：99.4
迭代：272，类型：随机，适应值：(7221.1662,)，车辆：19，距离：3360.583，满意度：99.4
迭代：273，类型：随机，适应值：(7221.1662,)，车辆：19，距离：3360.583，满意度：99.4
迭代：274，类型：随机，适应值：(7221.1662,)，车辆：19，距离：3360.583，满意度：99.4
迭代：275，类型：随机，适应值：(7221.1662,)，车辆：19，距离：3360.583，满意度：99.4
迭代：276，类型：随机，适应值：(7221.1662,)，车辆：19，距离：3360.583，满意度：99.4
迭代：277，类型：随机，适应值：(7188.0466,)，车辆：19，距离：3344.023，满意度：99.4
迭代：278，类型：随机，适应值：(7188.0466,)，车辆：19，距离：3344.023，满意度：99.4
迭代：279，类型：随机，适应值：(7188.0466,)，车辆：19，距离：3344.023，满意度：99.4
迭代：280，类型：随机，适应值：(7164.3084,)，车辆：19，距离：3332.154，满意度：99.4
迭代：281，类型：随机，适应值：(7103.0194,)，车辆：19，距离：3301.51，满意度：99.4
迭代：282，类型：随机，适应值：(7102.7767,)，车辆：19，距离：3301.388，满意度：99.4
迭代：283，类型：随机，适应值：(7102.7767,)，车辆：19，距离：3301.388，满意度：99.4
迭代：284，类型：随机，适应值：(7102.7767,)，车辆：19，距离：3301.388，满意度：99.4
迭代：285，类型：随机，适应值：(7069.262,)，车辆：19，距离：3284.631，满意度：99.4
迭代：286，类型：随机，适应值：(7069.262,)，车辆：19，距离：3284.631，满意度：99.4
迭代：287，类型：随机，适应值：(7069.262,)，车辆：19，距离：3284.631，满意度：99.4
迭代：288，类型：随机，适应值：(7069.262,)，车辆：19，距离：3284.631，满意度：99.4
迭代：289，类型：随机，适应值：(7069.262,)，车辆：19，距离：3284.631，满意度：99.4
迭代：290，类型：随机，适应值：(7036.6245,)，车辆：19，距离：3268.312，满意度：99.4
迭代：291，类型：随机，适应值：(7036.6245,)，车辆：19，距离：3268.312，满意度：99.4
迭代：292，类型：随机，适应值：(7036.6245,)，车辆：19，距离：3268.312，满意度：99.4
迭代：293，类型：随机，适应值：(7015.232,)，车辆：19，距离：3224.616，满意度：99.07
迭代：294，类型：随机，适应值：(7015.232,)，车辆：19，距离：3224.616，满意度：99.07
